Entity,Code,Year,Daily caloric intake per person that comes from animal protein,Daily caloric intake per person that comes from vegetal protein,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
Afghanistan,AFG,1961,5.512.887,29.084.247,34.388.312,23.650.508
Africa,0,1961,41.371.807,16.973.096,3.525.867,14.475.815
Africa (FAO),0,1961,42.72,167.84,356.31,14.261.299
Albania,ALB,1961,7.121.013,1.782.706,38.081.567,14.669.492
Algeria,DZA,1961,4.302.003,1.364.361,2.671.508,11.671.426
Americas (FAO),0,1961,168.24,140.44,701.01,1549.31
Angola,AGO,1961,27.732.363,10.836.439,24.030.685,12.946.013
Antigua and Barbuda,ATG,1961,1.246.943,104.791.695,4.376.031,12.958.002
Argentina,ARG,1961,26.487.766,16.373.444,85.483.246,18.633.862
Asia,0,1961,29.244.198,16.084.248,22.145.665,1396.48
Asia (FAO),0,1961,29.2,160.56,221.22,1394.02
Australia,AUS,1961,27.151.697,14.760.612,100.092.664,16.677.314
Austria,AUT,1961,19.491.519,16.059.378,100.687.494,1.832.471
Bahamas,BHS,1961,14.680.728,13.280.377,5.523.352,15.086.295
Bangladesh,BGD,1961,21.409.748,15.729.291,14.442.741,17.923.104
Barbados,BRB,1961,115.552.284,12.917.236,49.881.064,17.501.703
Belgium-Luxembourg (FAO),0,1961,195.6,162.32,1035,1530.08
Belize,BLZ,1961,10.333.355,13.846.695,49.426.865,14.146.869
Benin,BEN,1961,25.363.459,13.319.682,27.820.544,12.412.048
Bermuda,BMU,1961,27.036.752,10.776.107,100.217.163,13.780.488
Bolivia,BOL,1961,4.988.817,117.601.295,28.278.113,11.184.713
Botswana,BWA,1961,91.422.905,19.738.663,33.878.082,13.957.968
Brazil,BRA,1961,7.083.693,15.310.173,34.098.483,16.340.474
Brunei,BRN,1961,80.489.395,9.677.161,34.155.188,13.302.544
Bulgaria,BGR,1961,9.319.664,26.796.027,6.475.375,21.495.962
Burkina Faso,BFA,1961,1.985.099,15.057.703,23.167.558,9.354.174
Cambodia,KHM,1961,16.538.525,15.639.061,13.560.347,16.738.105
Cameroon,CMR,1961,40.849.064,18.769.513,29.269.196,15.981.144
Canada,CAN,1961,23.355.203,13.143.309,959.798,14.855.304
Cape Verde,CPV,1961,1.539.652,15.453.096,2.425.861,12.513.612
Caribbean (FAO),0,1961,65.88,121.88,375.12,1429.12
Central African Republic,CAF,1961,27.855.766,8.936.015,34.724.948,15.523.064
Central America (FAO),0,1961,63.16,174.36,434.25,1508.23
Chad,TCD,1961,44.849.354,23.991.032,50.625.046,14.465.006
Chile,CHL,1961,8.199.402,16.659.282,4.484.756,16.594.728
China,CHN,1961,12.910.342,14.443.445,13.280.505,11.370.481
China (FAO),0,1961,14.12,143.88,137.52,1143.48
Colombia,COL,1961,89.585.655,11.208.397,37.002.994,16.608.092
Congo,COG,1961,5.567.493,78.828.026,28.846.332,15.842.109
Costa Rica,CRI,1961,7.922.925,112.686.874,38.842.523,13.726.735
Cote d'Ivoire,CIV,1961,585.928,12.995.247,25.566.492,1.733.832
Cuba,CUB,1961,8.018.631,11.509.094,4.423.808,14.465.963
Cyprus,CYP,1961,8.134.814,17.764.883,69.430.634,14.464.667
Czechoslovakia,OWID_CZS,1961,1.657.322,19.127.255,9.557.523,19.909.181
Denmark,DNK,1961,18.882.304,14.049.715,12.263.997,1.631.629
Djibouti,DJI,1961,7.206.846,9.327.898,22.504.639,11.994.095
Dominica,DMA,1961,7.051.509,9.252.582,3.483.046,12.394.563
Dominican Republic,DOM,1961,5.128.828,99.602.165,3.146.331,12.558.093
