gender,absences,n_agama,n_pkn,n_bindo,n_mat,n_bing,n_por,n_bjawa,n_kejuruan,n_sikap,organization,extracurricular,origin_jhs,address,parent_status,father_edu,father_work,father_salary,mother_edu,mother_work,mother_salary,scholarship,family_size,house_status,final_score
P,1,94,84,87,85,82,89,89,87,A,ya,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,7,Rumah Sendiri,BAIK
P,1,83,82,87,82,79,84,88,86,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Rendah,SD sederajat,Pedagang Kecil,Cukup Rendah,Tidak,4,Sewa,CUKUP
P,0,94,83,87,90,84,87,87,88,A,tidak,tidak,negeri,kota,Cerai Mati,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Menumpang,BAIK
P,3,94,83,88,85,81,89,89,88,A,tidak,ya,negeri,kota,Kawin,SMP sederajat,Buruh,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,4,Rumah Sendiri,BAIK
L,5,91,82,87,84,80,85,89,87,B,ya,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Rendah,SD sederajat,Buruh,Cukup Rendah,Tidak,5,Sewa,BAIK
P,2,92,82,83,84,81,83,89,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMA sederajat,Wiraswasta,Cukup Tinggi,Tidak,6,Rumah Sendiri,BAIK
P,4,94,82,87,84,81,87,90,86,B,tidak,tidak,negeri,kota,Kawin,S1,Wiraswasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,0,95,84,87,86,90,90,90,90,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Lainnya,Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,0,91,82,86,80,79,85,88,86,B,tidak,tidak,swasta,kota,Kawin,SMA sederajat,Wiraswasta,Rendah,SMA sederajat,Lainnya,Rendah,Tidak,6,Sewa,BAIK
P,3,95,84,84,84,85,91,89,87,A,tidak,tidak,negeri,kota,Cerai Mati,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Menumpang,BAIK
P,0,95,85,88,86,85,85,90,88,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,2,96,84,90,95,88,91,89,90,A,tidak,tidak,negeri,kota,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,D3,Karyawan Swasta,Cukup Tinggi,Tidak,5,Menumpang,BAIK
P,2,95,82,87,84,79,84,89,84,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Rendah,SD sederajat,Buruh,Cukup Rendah,Ya,5,Sewa,BAIK
P,3,95,84,88,86,79,85,89,83,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Lainnya,Cukup Rendah,SD sederajat,Pedagang Kecil,Cukup Rendah,Ya,4,Sewa,CUKUP
P,1,96,83,88,90,87,89,90,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Tinggi,S1,Karyawan Swasta,Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,0,96,82,89,90,88,91,88,90,A,tidak,tidak,swasta,kota,Kawin,SMA sederajat,Wiraswasta,Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,BAIK
P,4,90,84,83,81,81,85,89,86,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Wiraswasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,5,83,83,84,88,83,84,88,87,B,tidak,tidak,negeri,kota,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Buruh,Rendah,Tidak,5,Menumpang,BAIK
P,0,95,84,91,86,86,92,89,90,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,7,Rumah Sendiri,BAIK
P,2,94,82,89,85,81,90,89,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,2,95,84,91,85,83,91,88,89,A,ya,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,3,90,83,87,80,82,88,88,88,B,tidak,ya,negeri,kota,Cerai Mati,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,S1,Pedagang Kecil,Rendah,Tidak,6,Menumpang,BAIK
P,2,94,82,88,80,80,91,88,88,A,tidak,ya,negeri,kota,Kawin,SMA sederajat,Pedagang Kecil,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,5,Rumah Sendiri,BAIK
P,1,94,84,90,82,81,91,88,89,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Tinggi,SMA sederajat,Lainnya,Tinggi,Tidak,3,Rumah Sendiri,BAIK
P,1,94,83,89,86,84,89,90,89,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,0,95,84,88,86,81,91,91,89,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,3,96,83,91,88,83,88,90,89,A,ya,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,1,95,83,92,82,81,88,89,88,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Wiraswasta,Sangat Rendah,SMA sederajat,Wiraswasta,Rendah,Ya,4,Menumpang,BAIK
P,1,96,82,89,82,82,90,88,90,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wirausaha,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,4,Rumah Sendiri,BAIK
P,0,95,82,91,86,88,91,88,89,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,PNSTNIPolri,Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,2,97,83,91,90,91,89,90,90,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,5,Rumah Sendiri,BAIK
P,5,92,82,88,84,80,91,90,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Sewa,BAIK
P,1,84,83,89,86,81,87,88,89,A,tidak,tidak,negeri,kabupaten,Kawin,D3,Karyawan Swasta,Cukup Tinggi,D3,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,2,95,82,88,82,83,88,89,90,A,tidak,ya,negeri,kota,Kawin,SD sederajat,Buruh,Rendah,SMA sederajat,Buruh,Rendah,Ya,4,Sewa,BAIK
P,3,93,82,90,86,82,91,89,89,A,tidak,tidak,negeri,kota,Kawin,S1,Karyawan Swasta,Cukup Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,4,95,82,84,78,79,87,88,86,B,tidak,tidak,negeri,kabupaten,Kawin,SMP sederajat,Buruh,Cukup Tinggi,SMP sederajat,Buruh,Cukup Tinggi,Ya,4,Rumah Sendiri,BAIK
P,4,94,81,79,80,79,87,89,83,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Buruh,Cukup Tinggi,SMP sederajat,Lainnya,Cukup Rendah,Ya,4,Rumah Sendiri,CUKUP
P,2,88,82,91,88,87,82,89,87,A,tidak,ya,negeri,kota,Kawin,D3,Karyawan Swasta,Tinggi,S1,Karyawan Swasta,Cukup Tinggi,Tidak,3,Rumah Sendiri,BAIK
P,0,93,83,79,78,83,84,89,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,2,95,82,88,85,85,87,89,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Pensiunan,Cukup Rendah,S1,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,BAIK
P,0,95,82,95,84,81,86,89,88,A,tidak,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Sewa,BAIK
L,5,94,81,85,78,81,87,89,85,B,ya,ya,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,1,96,83,91,86,82,88,90,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Tinggi,D1,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,5,91,81,80,85,81,88,90,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Pensiunan,Cukup Rendah,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,4,Sewa,BAIK
P,4,95,82,79,80,82,86,90,85,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,CUKUP
