"additionalInfo/Aksesibilitas/0/Pintu masuk khusus pengguna kursi roda","additionalInfo/Aksesibilitas/0/Tempat parkir khusus pengguna kursi roda","additionalInfo/Aksesibilitas/1/Tempat parkir khusus pengguna kursi roda","additionalInfo/Anak-anak/0/Cocok untuk anak-anak","additionalInfo/Anak-anak/1/Menu anak","additionalInfo/Fasilitas/0/Toilet","additionalInfo/Fasilitas/1/Wi-Fi","additionalInfo/Fasilitas/2/Wi-Fi Gratis","additionalInfo/Keunggulan/0/Sayur mayur dan buah segar","additionalInfo/Opsi layanan/0/Ambil di toko","additionalInfo/Opsi layanan/0/Antar tanpa bertemu","additionalInfo/Opsi layanan/0/Pengiriman di hari yang sama","additionalInfo/Opsi layanan/0/Pesan antar","additionalInfo/Opsi layanan/1/Ambil di toko","additionalInfo/Opsi layanan/1/Belanja di toko","additionalInfo/Opsi layanan/1/Pengiriman di hari yang sama","additionalInfo/Opsi layanan/1/Pesan antar","additionalInfo/Opsi layanan/2/Ambil di toko","additionalInfo/Opsi layanan/2/Bawa pulang","additionalInfo/Opsi layanan/2/Belanja di toko","additionalInfo/Opsi layanan/2/Pengiriman di hari yang sama","additionalInfo/Opsi layanan/3/Layanan di tempat","additionalInfo/Opsi layanan/3/Makan di tempat","additionalInfo/Opsi layanan/3/Pengiriman di hari yang sama","additionalInfo/Opsi layanan/4/Pengiriman di hari yang sama","additionalInfo/Parkir/0/Gedung parkir gratis","additionalInfo/Parkir/0/Tempat parkir gratis","additionalInfo/Parkir/1/Parkir di jalan gratis","additionalInfo/Parkir/2/Tempat parkir di lokasi","additionalInfo/Parkir/3/Tempat parkir gratis","additionalInfo/Pembayaran/0/Kartu debit","additionalInfo/Pembayaran/0/Kartu kredit","additionalInfo/Pembayaran/1/Kartu kredit","additionalInfo/Pembayaran/2/Kartu kredit","additionalInfo/Pembayaran/2/Pembayaran seluler dengan NFC","additionalInfo/Pembayaran/3/Kartu kredit","additionalInfo/Penawaran/0/Cepat saji","additionalInfo/Penawaran/0/LPG","additionalInfo/Penawaran/0/Makanan","additionalInfo/Penawaran/0/Makanan siap saji","additionalInfo/Penawaran/1/Makanan halal","additionalInfo/Penawaran/1/Tempat jual produk roti","additionalInfo/Perencanaan/0/Belanja kilat","additionalInfo/Pilihan makan/0/Makan malam","additionalInfo/Populer untuk/0/Makan malam","additionalInfo/Populer untuk/1/Makan sendiri","additionalInfo/Suasana/0/Santai","additionalOpeningHours/Akses/0/day","additionalOpeningHours/Akses/0/hours","additionalOpeningHours/Akses/1/day","additionalOpeningHours/Akses/1/hours","additionalOpeningHours/Akses/2/day","additionalOpeningHours/Akses/2/hours","additionalOpeningHours/Akses/3/day","additionalOpeningHours/Akses/3/hours","additionalOpeningHours/Akses/4/day","additionalOpeningHours/Akses/4/hours","additionalOpeningHours/Akses/5/day","additionalOpeningHours/Akses/5/hours","additionalOpeningHours/Akses/6/day","additionalOpeningHours/Akses/6/hours","address","categories/0","categories/1","categories/2","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","language","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url","website"
"false",,"false",,,,,,,,"true",,,,,,"true","true",,,,,,"true",,,,,,,"true",,"true","true",,,,,"true",,,"true","true",,,,,,,,,,,,,,,,,,,"2MVP+FGC, Klp Jl. Lebung Permai, Talang Klp., Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30153, Indonesia","Toko bahan makanan",,,"Toko bahan makanan","1910622682457704240","Kota Palembang","true","ID","0x2e3b753183920f59:0x1a83e534efb20730",,"https://lh3.googleusercontent.com/p/AF1QipNeP_tmeoVlWviYjZv6EH0qmxQdARFDemMnqGsv=w426-h240-k-no","17","false","/g/11frs9j5tp","id","-2.9563215","104.6862575","Talang Kelapa, Kecamatan Alang-Alang Lebar","Sabtu","07.00 to 22.00","Minggu","07.00 to 22.00","Senin","07.00 to 22.00","Selasa","07.00 to 22.00","Rabu","07.00 to 22.00","Kamis","07.00 to 22.00","Jumat","07.00 to 22.00","false",,,"ChIJWQ-SgzF1Oy4RMAey7zTlgxo","30153",,"1","92",,,,,,"2025-04-19T04:04:05.976Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","2MVP+FGC, Klp Jl. Lebung Permai","false","Alfamart Lebung Permai Talang kelapa","4.4","https://www.google.com/maps/search/?api=1&query=Alfamart%20Lebung%20Permai%20Talang%20kelapa&query_place_id=ChIJWQ-SgzF1Oy4RMAey7zTlgxo",
"false",,"false",,,,,,,,"true",,,,,,"true","true",,,,,,"true",,,,,,,"true",,"true","true",,,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,"Komplek Citra Grand City Rt. 12 Rw. 05 Ds. Alangalang Lebar, Talang Klp., Kec. Sukarami, Kota Palembang, Sumatera Selatan 30154, Indonesia","Minimarket","Toko bahan makanan","Toko Swalayan","Minimarket","10868184891341856225","Kota Palembang","false","ID","0x2e3b7490b2e1cd19:0x96d38c9399b2dde1",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhE7WLQkU2ZgahsjzNG2Q2a0gK5MpiZ8lD-zXmZgqiErt8O1kqQuFZ1X_SSR74vP2z8m4ZAisAQSFz5TAPA8017-FjwaDnSOPYK6dZchu2_Jg8a55oX9VqOXuMzAwSiAPjeRlXX0PzYfncuS9rA418jPW8hTGyz1NK_JLYGWrEM6_owK7m0puF_NperF3YWPBsgbVnQ=w408-h306-k-no","21","false","/g/11b7r15591","id","-2.9318423","104.6807179","Talang Kelapa, Kecamatan Sukarami","Sabtu","07.00 to 22.00","Minggu","07.00 to 22.00","Senin","07.00 to 22.00","Selasa","07.00 to 22.00","Rabu","07.00 to 22.00","Kamis","07.00 to 22.00","Jumat","07.00 to 22.00","false","+62 1 500 959","+621500959","ChIJGc3hspB0Oy4R4d2ymZOM05Y","30154",,"2","189",,,,,,"2025-04-19T04:04:05.978Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","Komplek Citra Grand City Rt. 12 Rw. 05 Ds. Alangalang Lebar","false","Alfamart Citra Grand City","4.3","https://www.google.com/maps/search/?api=1&query=Alfamart%20Citra%20Grand%20City&query_place_id=ChIJGc3hspB0Oy4R4d2ymZOM05Y",
"false",,"false",,,,,,,,"true",,,,,,"true","true",,,,,,"true",,,,,,,"true",,"true","true",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"3M6Q+5CC, Talang Klp., Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961, Indonesia","Toko bahan makanan",,,"Toko bahan makanan","13384910737404945837","Kota Palembang","true","ID","0x2e3b75599ef88f59:0xb9c0c1663d5565ad",,"https://lh3.googleusercontent.com/p/AF1QipOlF_GrRMgkGbDYZFasR0gSHJGsNyH5GMPKHsQ5=w408-h544-k-no","2","false","/g/11jrcyk2dg","id","-2.9395626","104.6885125","Talang Kelapa, Kecamatan Alang-Alang Lebar","Sabtu","07.00 to 22.00","Minggu","07.00 to 22.00","Senin","07.00 to 22.00","Selasa","07.00 to 22.00","Rabu","07.00 to 22.00","Kamis","07.00 to 22.00","Jumat","07.00 to 22.00","false",,,"ChIJWY_4nll1Oy4RrWVVPWbBwLk","30961",,"3","13",,,,,,"2025-04-19T04:04:05.978Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","3M6Q+5CC","false","Alfamart simpang talang kelapa","4.1","https://www.google.com/maps/search/?api=1&query=Alfamart%20simpang%20talang%20kelapa&query_place_id=ChIJWY_4nll1Oy4RrWVVPWbBwLk",
"false",,"false",,,,,,,,,,"true","true",,,,,,,"false",,,,,,,,,,"true",,"true","true",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"Jl. Kelapa Gading Rt. 001 Rw Ds. Alangalang Lebar, Talang Klp., Kec. Sukarami, Kota Palembang, Sumatera Selatan 30154, Indonesia","Minimarket","Toko Swalayan",,"Minimarket","6455586701364596000","Kota Palembang","false","ID","0x2e3b756a05e1beb1:0x5996d9e6d7928d20",,"https://lh3.googleusercontent.com/p/AF1QipPRI1ekMNLUSpPFqww3VP9gR2Vi438EJkpEEdp8=w426-h240-k-no","5","false","/g/11l49334wv","id","-2.94172","104.68826","Talang Kelapa, Kecamatan Sukarami","Sabtu","Buka 24 jAM","Minggu","07.00 to 22.00","Senin","Buka 24 jAM","Selasa","07.00 to 22.00","Rabu","07.00 to 22.00","Kamis","07.00 to 22.00","Jumat","07.00 to 22.00","false",,,"ChIJsb7hBWp1Oy4RII2S1-bZllk","30154",,"4","17",,,,,,"2025-04-19T04:04:05.978Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","Jl. Kelapa Gading Rt. 001 Rw Ds. Alangalang Lebar","false","Alfamart Perum Talang Kelapa","3.9","https://www.google.com/maps/search/?api=1&query=Alfamart%20Perum%20Talang%20Kelapa&query_place_id=ChIJsb7hBWp1Oy4RII2S1-bZllk",
,,,,,,,,,,,,"true","true",,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"3M4V+CCM, Talang Klp., Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30155, Indonesia","Minimarket",,,"Minimarket","318369202658471930","Kota Palembang","true","ID","0x2e3b75eabee0c459:0x46b131a5fe1effa",,"https://lh3.googleusercontent.com/p/AF1QipMIVacH1Vcv4RotFwN8htMWZ-u2Ok-xol6UT8sJ=w426-h240-k-no","12","false","/g/11lrdvkkjx","id","-2.9439041","104.6935441","Talang Kelapa, Kecamatan Alang-Alang Lebar","Sabtu","07.00 to 22.00","Minggu","07.00 to 22.00","Senin","07.00 to 22.00","Selasa","07.00 to 22.00","Rabu","07.00 to 22.00","Kamis","07.00 to 22.00","Jumat","07.00 to 22.00","false",,,"ChIJWcTgvup1Oy4R-u_hXxoTawQ","30155",,"5","8",,,,,,"2025-04-19T04:04:05.978Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","3M4V+CCM","false","Alfamart kampung TL.kelapa","4","https://www.google.com/maps/search/?api=1&query=Alfamart%20kampung%20TL.kelapa&query_place_id=ChIJWcTgvup1Oy4R-u_hXxoTawQ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"Jl. Tj. Barangan, Bukit Baru, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30131, Indonesia","Minimarket",,,"Minimarket","11807056755356353705","Kota Palembang","false","ID","0x2e3b75b7ac7b6f6d:0xa3db179001e444a9",,"https://lh3.googleusercontent.com/p/AF1QipMFdbjrDft4_9lXeswNCi0UKn96mh1BiAhtFqc3=w408-h306-k-no","10","false","/g/11whg6vhx9","id","-2.9753362","104.6955023","Bukit Baru, Kecamatan Ilir Barat I",,,,,,,,,,,,,,,"false","+62 813-7385-1442","+6281373851442","ChIJbW97rLd1Oy4RqUTkAZAX26M","30131",,"6","3",,,,,,"2025-04-19T04:04:05.978Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","Jl. Tj. Barangan","false","Alfamart Putra Gumay Asri","5","https://www.google.com/maps/search/?api=1&query=Alfamart%20Putra%20Gumay%20Asri&query_place_id=ChIJbW97rLd1Oy4RqUTkAZAX26M",
,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"2M5R+VXW, Gandus, Kec. Gandus, Kota Palembang, Sumatera Selatan 30149, Indonesia","Minimarket",,,"Minimarket","14418748739965685879","Kota Palembang","true","ID","0x2e3b75664d4db19d:0xc819af95cf441077",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Zj2mmSqlecvGqf0Ei38-lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=102.272385&pitch=0&thumbfov=100","1","false","/g/11vbzmf19c","id","-2.9902539","104.6924409","Gandus, Kecamatan Gandus",,,,,,,,,,,,,,,"false",,,"ChIJnbFNTWZ1Oy4RdxBEz5WvGcg","30149",,"7","2",,,,,,"2025-04-19T04:04:05.978Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","2M5R+VXW","false","Alfamart","4.5","https://www.google.com/maps/search/?api=1&query=Alfamart&query_place_id=ChIJnbFNTWZ1Oy4RdxBEz5WvGcg",
,,,,,,,,,,,,"true","true",,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"3M9P+VFJ, Jl. Bypass Alang-Alang Lebar, Talang Klp., Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961, Indonesia","Minimarket",,,"Minimarket","8796286198062933412","Kota Palembang","true","ID","0x2e3b75001e2ade51:0x7a12afb1423665a4",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=inIWSaIHifU6wjTvMrcDlw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=18.29663&pitch=0&thumbfov=100","1","false","/g/11vspctz05","id","-2.9302786","104.6861397","Talang Kelapa, Kecamatan Alang-Alang Lebar",,,,,,,,,,,,,,,"false",,,"ChIJUd4qHgB1Oy4RpGU2QrGvEno","30961",,"8","2",,,,,,"2025-04-19T04:04:05.979Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","3M9P+VFJ, Jl. Bypass Alang-Alang Lebar","false","Alfamart Ruko Alang-alang Lebar","5","https://www.google.com/maps/search/?api=1&query=Alfamart%20Ruko%20Alang-alang%20Lebar&query_place_id=ChIJUd4qHgB1Oy4RpGU2QrGvEno",
"false",,"false",,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"3P93+MWQ, Karya Baru, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961, Indonesia","Toko bahan makanan",,,"Toko bahan makanan","7678680550009150406","Kota Palembang","true","ID","0x2e3b7576db771469:0x6a902746deff1bc6",,"https://lh3.googleusercontent.com/p/AF1QipO1P7_gFNQyCmr8sJdJpt8mJ2UTvxuPy3EbtnRS=w426-h240-k-no","18","false","/g/11h0_jcbph","id","-2.9307853","104.7048443","Karya Baru, Kecamatan Alang-Alang Lebar","Sabtu","07.00 to 22.00","Minggu","07.00 to 22.00","Senin","07.00 to 22.00","Selasa","07.00 to 22.00","Rabu","07.00 to 22.00","Kamis","07.00 to 22.00","Jumat","07.00 to 22.00","false",,,"ChIJaRR323Z1Oy4Rxhv_3kYnkGo","30961",,"9","229",,,,,,"2025-04-19T04:04:05.979Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","3P93+MWQ","false","Alfamart soekarno hatta","4.5","https://www.google.com/maps/search/?api=1&query=Alfamart%20soekarno%20hatta&query_place_id=ChIJaRR323Z1Oy4Rxhv_3kYnkGo",
,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"XMXQ+F68, Jl. Talang Kepuh, Gandus, Kec. Gandus, Kota Palembang, Sumatera Selatan 30149, Indonesia","Minimarket",,,"Minimarket","15448222954075827507","Kota Palembang","true","ID","0x2e3b9f9304fad4df:0xd6631cedb4b9ad33",,,,"false","/g/11vf1nw8fj","id","-3.0013359","104.6880636","Gandus, Kecamatan Gandus",,,,,,,,,,,,,,,"false",,,"ChIJ39T6BJOfOy4RM625tO0cY9Y","30149",,"10","0",,,,,,"2025-04-19T04:04:05.979Z","https://www.google.com/maps/search/Toko%20alfamart/@-2.968349983997035,104.65122643246427,15z?hl=id","Toko alfamart","Sumatera Selatan","XMXQ+F68, Jl. Talang Kepuh","false","Alfamart",,"https://www.google.com/maps/search/?api=1&query=Alfamart&query_place_id=ChIJ39T6BJOfOy4RM625tO0cY9Y",
