"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/0/Wheelchair-accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/1/Restroom","additionalInfo/Atmosphere/0/Casual","additionalInfo/Atmosphere/1/Cozy","additionalInfo/Atmosphere/2/Quiet","additionalInfo/Atmosphere/2/Trendy","additionalInfo/Children/0/Good for kids","additionalInfo/Children/1/Kids' menu","additionalInfo/Crowd/0/College students","additionalInfo/Crowd/0/Groups","additionalInfo/Crowd/1/Family-friendly","additionalInfo/Crowd/2/Groups","additionalInfo/Crowd/3/Tourists","additionalInfo/Dining options/0/Breakfast","additionalInfo/Dining options/1/Brunch","additionalInfo/Dining options/2/Lunch","additionalInfo/Dining options/3/Dinner","additionalInfo/Dining options/4/Dessert","additionalInfo/Dining options/5/Seating","additionalInfo/Highlights/0/Great coffee","additionalInfo/Highlights/0/Great produce","additionalInfo/Highlights/1/Great dessert","additionalInfo/Highlights/1/Great tea selection","additionalInfo/Highlights/2/Great tea selection","additionalInfo/Offerings/0/Bakery","additionalInfo/Offerings/0/Coffee","additionalInfo/Offerings/0/Food","additionalInfo/Offerings/0/LPG","additionalInfo/Offerings/0/Organic products","additionalInfo/Offerings/1/Food","additionalInfo/Offerings/1/Happy hour drinks","additionalInfo/Offerings/1/Pharmacy","additionalInfo/Offerings/1/Prepared foods","additionalInfo/Offerings/1/Quick bite","additionalInfo/Offerings/2/Happy hour food","additionalInfo/Offerings/3/Prepared foods","additionalInfo/Offerings/4/Quick bite","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/1","additionalInfo/Payments/0/Cash-only","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/Debit cards","additionalInfo/Payments/1/Credit cards","additionalInfo/Payments/1/Debit cards","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Payments/3/Credit cards","additionalInfo/Planning/0/Quick visit","additionalInfo/Popular for/0/Good for working on laptop","additionalInfo/Service options/0/Delivery","additionalInfo/Service options/0/In-store pick-up","additionalInfo/Service options/0/In-store pickup","additionalInfo/Service options/0/In-store shopping","additionalInfo/Service options/0/No-contact delivery","additionalInfo/Service options/0/Outdoor seating","additionalInfo/Service options/0/Takeout","additionalInfo/Service options/1/Delivery","additionalInfo/Service options/1/Dine-in","additionalInfo/Service options/1/In-store pick-up","additionalInfo/Service options/1/In-store pickup","additionalInfo/Service options/1/Same-day delivery","additionalInfo/Service options/1/Takeout","additionalInfo/Service options/2/In-store pick-up","additionalInfo/Service options/2/In-store pickup","additionalInfo/Service options/2/In-store shopping","additionalInfo/Service options/2/Same-day delivery","additionalInfo/Service options/2/Takeout","additionalInfo/Service options/3/Dine-in","additionalInfo/Service options/3/In-store shopping","additionalInfo/Service options/3/Onsite services","additionalInfo/Service options/3/Same-day delivery","additionalInfo/Service options/4/Same-day delivery","address","categories/0","categories/1","categories/2","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","language","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"true",,,"true","true",,,"true",,,,,,"true",,,"true",,,,,,,"true",,,,,,,"true",,"2QH9+7WC, Jl. Dr. M. Isa, Duku, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30114, Indonesia","Convenience store",,,"Convenience store","10299788901054655635","Palembang City","true","ID","0x2e3b766bf9b4b6ab:0x8ef0336f54dfac93",,"https://lh3.googleusercontent.com/p/AF1QipNXRK70FbbgT-0TAP_q9LC64Rsj0n1y0m7mVWI6=w408-h306-k-no","14","false","/g/1hm5jdj6_","en","-2.9718034","104.769765","Duku, Ilir Timur II","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+62 897-4400-903","+628974400903","ChIJq7a0-Wt2Oy4Rk6zfVG8z8I4","30114",,"1","29",,,,,,"2025-04-16T16:44:53.004Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","2QH9+7WC, Jl. Dr. M. Isa",,"false","Indomaret | Duku","3.7","https://www.google.com/maps/search/?api=1&query=Indomaret%20%7C%20Duku&query_place_id=ChIJq7a0-Wt2Oy4Rk6zfVG8z8I4","http://indomaret.co.id/"
"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"true",,,"true","true",,,"true",,"true",,,,,,,,,,"true",,,,,,,,,,,,,"Jl. R. E. Martadinata No.18D, 3 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30111, Indonesia","Convenience store",,,"Convenience store","7173916049359240268","Palembang City","true","ID","0x2e3b76442ae32439:0x638edea34a87fc4c",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhGdNpZz9R33SmmXO3FNAdFKd3YotIlqShI3fcJpSGpUGm5WisqAhh3ZhfQbGXxUhFqTHgA45n033aP26oSlbKBWO2eEJAcTOHEKu3R-HNLjBWLpwfBCTPnYCuUn7W-urqkBXVjKhIe5mOz-aSf6sfhaS_IADNOBmdqjtOPlB2zJwmGP4skBs_nXurj3CvZZwwBR1w=w408-h306-k-no","16","false","/g/1hm6j4474","en","-2.9711793","104.7837427","3 Ilir, Ilir Timur II","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","7 AM to 10 PM","false",,,"ChIJOSTjKkR2Oy4RTPyHSqPejmM","30111",,"2","16",,,,,,"2025-04-16T16:44:53.006Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","Jl. R. E. Martadinata No.18D",,"false","Indomaret R E Martadinata","4.3","https://www.google.com/maps/search/?api=1&query=Indomaret%20R%20E%20Martadinata&query_place_id=ChIJOSTjKkR2Oy4RTPyHSqPejmM","http://www.indomaret.co.id/"
"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"true",,,,,,,"true",,,,,,"true",,,"true",,,,,,,,,"true",,,,,,,"Jl. Slamet Riady No.1557, Lawang Kidul, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30111, Indonesia","Convenience store",,,"Convenience store","4744504252069948368","Palembang City","true","ID","0x2e3b763e25512787:0x41d7dd7ad3f5abd0",,"https://lh3.googleusercontent.com/p/AF1QipMwAs-wQ0aByzmR201tbbZzQMqYhBJnYsKOJ5Bb=w408-h306-k-no","8","false","/g/11c2ll0_dz","en","-2.9791143","104.7761259","Lawang Kidul, Ilir Timur II","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false",,,"ChIJhydRJT52Oy4R0Kv103rd10E","30111",,"3","29",,,,,,"2025-04-16T16:44:53.006Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","Jl. Slamet Riady No.1557",,"false","Indomaret boom baru","3.8","https://www.google.com/maps/search/?api=1&query=Indomaret%20boom%20baru&query_place_id=ChIJhydRJT52Oy4R0Kv103rd10E","https://indomaret.co.id/"
"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,"true",,,,,,,"true",,"true",,,,,,,,,,"true",,,,,,"true",,,,,,,"Jl. Urip Sumoharjo No.30, 2 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30163, Indonesia","Grocery store",,,"Grocery store","15906338177851007969","Palembang City","true","ID","0x2e3b765896a0f801:0xdcbeaa4c200b23e1",,"https://lh3.googleusercontent.com/p/AF1QipPuEzi5FAjMQ52GRKgpj5-QN6IBLERGDP7Y56hs=w408-h258-k-no","27","false","/g/1hm50_ns1","en","-2.9575344","104.7830154","2 Ilir, Ilir Timur II","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false",,,"ChIJAfigllh2Oy4R4SMLIEyqvtw","30163",,"4","108",,,,,,"2025-04-16T16:44:53.006Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","Jl. Urip Sumoharjo No.30",,"false","Indomaret Ajen","4.4","https://www.google.com/maps/search/?api=1&query=Indomaret%20Ajen&query_place_id=ChIJAfigllh2Oy4R4SMLIEyqvtw","https://indomaret.co.id/"
"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"true","true",,,"true",,,,,,"true",,,"true",,,,,,,"true",,,,,,,"true",,"Jl. May Zen No.3, Sei Selayur, Kec. Kalidoni, Kota Palembang, Sumatera Selatan 30119, Indonesia","Convenience store",,,"Convenience store","11422135549661592919","Palembang City","true","ID","0x2e3b77b24588a7a1:0x9e8393c3edf0bd57",,"https://lh3.googleusercontent.com/p/AF1QipOfLmeGRmQe0vNjfJBVoc07gdwg-KuyLgJgJXbE=w408-h306-k-no","8","false","/g/11cs3zfxmy","en","-2.9678127","104.8026465","Sei Selayur, Kalidoni","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false",,,"ChIJoaeIRbJ3Oy4RV73w7cOTg54","30119",,"5","21",,,,,,"2025-04-16T16:44:53.007Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","Jl. May Zen No.3",,"false","Indomaret","4.3","https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJoaeIRbJ3Oy4RV73w7cOTg54","https://indomaret.co.id/"
"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"true",,,,,,,"true",,,,,,"true",,,"true",,,,,,,"true",,,,,,,"true",,"Jl. Rajawali No.543, 9 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30113, Indonesia","Convenience store",,,"Convenience store","13710323316289206126","Palembang City","true","ID","0x2e3b766fd4107b57:0xbe44da6a6f2c776e",,"https://lh3.googleusercontent.com/p/AF1QipNSbzf2aZKtACSPUJqdY_Z8sOo29ximNumpd-dK=w408-h272-k-no","65","false","/g/11b76fz25r","en","-2.96862","104.7636511","9 Ilir, Ilir Timur II","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+62 711 5327414","+627115327414","ChIJV3sQ1G92Oy4Rbncsb2raRL4","30113",,"6","33",,,,,,"2025-04-16T16:44:53.007Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","Jl. Rajawali No.543",,"false","Indomaret Rajawali","3.8","https://www.google.com/maps/search/?api=1&query=Indomaret%20Rajawali&query_place_id=ChIJV3sQ1G92Oy4Rbncsb2raRL4","http://www.indomaret.co.id/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,"true",,"true",,,,,,,,,,"true",,,,,,,,,,,,,"2QF9+QMC, Lorong Sahara Agung, Kuto Batu, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30114, Indonesia","Convenience store",,,"Convenience store","15469825836792399907","Palembang City","true","ID","0x2e3b77513ce15c1d:0xd6afdca2cb2bc823",,"https://lh3.googleusercontent.com/p/AF1QipN0v7F4MO_eqjqez9bp-tz8Cynr4W6Ii2lWmxqj=w426-h240-k-no","7","false","/g/11sjrqm0q9","en","-2.9755608","104.7691333","Kuto Batu, Ilir Timur II",,,,,,,,,,,,,,,"false",,,"ChIJHVzhPFF3Oy4RI8gry6Lcr9Y","30114",,"7","1",,,,,,"2025-04-16T16:44:53.007Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","2QF9+QMC, Lorong Sahara Agung",,"false","INDOMARET Sahara Agung","5","https://www.google.com/maps/search/?api=1&query=INDOMARET%20Sahara%20Agung&query_place_id=ChIJHVzhPFF3Oy4RI8gry6Lcr9Y",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,"true",,,,"true",,,,,,,,,,,,,,,,,,,,,"2QC9+63M, Jl. Segaran, 14 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30111, Indonesia","Convenience store",,,"Convenience store","14874267051374626606","Palembang City","true","ID","0x2e3b775175d95307:0xce6c0313737b472e",,,,"false","/g/11q40cx8bx","en","-2.9794096","104.7676712","14 Ilir, Ilir Timur II",,,,,,,,,,,,,,,"false","+62 822-8063-6207","+6282280636207","ChIJB1PZdVF3Oy4RLkd7cxMDbM4","30111",,"8","1",,,,,,"2025-04-16T16:44:53.007Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","2QC9+63M, Jl. Segaran",,"false","Indomaret jln segaran 9 ilir","5","https://www.google.com/maps/search/?api=1&query=Indomaret%20jln%20segaran%209%20ilir&query_place_id=ChIJB1PZdVF3Oy4RLkd7cxMDbM4",
"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,"true",,,"true",,,,,,,"true",,,,,,,,,"Jl. Sutan Syahrir No.1674, 5 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30114, Indonesia","Convenience store",,,"Convenience store","9719736642178285974","Palembang City","true","ID","0x2e3b765c5c7aa7bb:0x86e370fa8b628196",,"https://lh3.googleusercontent.com/p/AF1QipMOlOgNYlB132StWDISvwg4wlpUHPgIvQ0vWbPw=w425-h240-k-no","5","false","/g/11ddxc_wbd","en","-2.9633388","104.7797881","5 Ilir, Ilir Timur II","Monday","6:30 AM to 11 PM","Tuesday","6:30 AM to 11 PM","Wednesday","6:30 AM to 11 PM","Thursday","6:30 AM to 11 PM","Friday","6:30 AM to 11 PM","Saturday","6:30 AM to 11 PM","Sunday","6:30 AM to 11 PM","false",,,"ChIJu6d6XFx2Oy4RloFii_pw44Y","30114",,"9","100",,,,,,"2025-04-16T16:44:53.007Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","Jl. Sutan Syahrir No.1674",,"false","Indomaret Sultan Syahrir","4","https://www.google.com/maps/search/?api=1&query=Indomaret%20Sultan%20Syahrir&query_place_id=ChIJu6d6XFx2Oy4RloFii_pw44Y","https://indomaret.co.id/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"2QH9+XJ4, Duku, Ilir Timur II, Palembang City, South Sumatra 30114, Indonesia","Grocery store",,,"Grocery store","18248845436525509099","Palembang City","true","ID","0x2e3b7766fd9d426d:0xfd40ec3ced1c79eb",,"https://lh3.googleusercontent.com/p/AF1QipOjFhKz3PCQ4UiZl7DwavZzpNnkgt52I2Epk5v4=w408-h306-k-no","10","false","/g/11g19pkj2v","en","-2.9701246","104.7690878","Duku, Ilir Timur II","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false",,,"ChIJbUKd_WZ3Oy4R63kc7TzsQP0","30114",,"10","5",,,,,,"2025-04-16T16:44:53.007Z","https://www.google.com/maps/search/toko%20Indomaret/@-2.968349983997035,104.78874190052146,15z?hl=en","toko Indomaret","South Sumatra","2QH9+XJ4",,"false","Indomaret Singapore Station","3.2","https://www.google.com/maps/search/?api=1&query=Indomaret%20Singapore%20Station&query_place_id=ChIJbUKd_WZ3Oy4R63kc7TzsQP0",
