title,totalScore,reviewsCount,location/lat,location/lng,neighborhood,url,Kecamatan,Jiwa/km²,nearby_alfamart,second_nearby_alfamart,cluster
Indomaret | Duku,3.7,29,-2.9718034,104.769765,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20%7C%20Duku&query_place_id=ChIJq7a0-Wt2Oy4Rk6zfVG8z8I4,Ilir Timur II,10071,1,0,0
Indomaret R E Martadinata,4.3,16,-2.9711793,104.7837427,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20R%20E%20Martadinata&query_place_id=ChIJOSTjKkR2Oy4RTPyHSqPejmM,Ilir Timur II,10071,0,0,1
Indomaret boom baru,3.8,29,-2.9791143,104.7761259,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20boom%20baru&query_place_id=ChIJhydRJT52Oy4R0Kv103rd10E,Ilir Timur II,10071,1,0,0
Indomaret Ajen,4.4,108,-2.9575344,104.7830154,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Ajen&query_place_id=ChIJAfigllh2Oy4R4SMLIEyqvtw,Ilir Timur II,10071,0,0,1
Indomaret,4.3,21,-2.9678127,104.8026465,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJoaeIRbJ3Oy4RV73w7cOTg54,Kalidoni,4034,1,0,0
Indomaret Rajawali,3.8,33,-2.96862,104.7636511,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Rajawali&query_place_id=ChIJV3sQ1G92Oy4Rbncsb2raRL4,Ilir Timur II,10071,0,0,1
INDOMARET Sahara Agung,5.0,1,-2.9755608,104.7691333,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=INDOMARET%20Sahara%20Agung&query_place_id=ChIJHVzhPFF3Oy4RI8gry6Lcr9Y,Ilir Timur II,10071,0,0,1
Indomaret jln segaran 9 ilir,5.0,1,-2.9794096,104.7676712,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20jln%20segaran%209%20ilir&query_place_id=ChIJB1PZdVF3Oy4RLkd7cxMDbM4,Ilir Timur II,10071,0,0,1
Indomaret Sultan Syahrir,4.0,100,-2.9633388,104.7797881,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sultan%20Syahrir&query_place_id=ChIJu6d6XFx2Oy4RloFii_pw44Y,Ilir Timur II,10071,1,0,0
Indomaret Singapore Station,3.2,5,-2.9701246,104.7690878,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Singapore%20Station&query_place_id=ChIJbUKd_WZ3Oy4R63kc7TzsQP0,Ilir Timur II,10071,0,0,1
